Show,Organization,Venue,Start,End,Email,Email Source,Address,City,State,Postal,Country,Website,Phone,Facebook,Instagram,Licensor/Source,Source URL,Date Type,Venue Type,First Seen
Frozen,Pittsburg Community Theatre,Pittsburg Memorial Auditorium,2026-09-30,2026-10-04,sebastian@aldusleaf.org,Organizations,"503 North Pine, Pittsburg, KS 66762",Pittsburg,KS,66762,US,http://www.memorialauditorium.org,,,,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Snapshot,Studio Theater,Studio Theater,2026-09-30,2026-10-04,tickets@kcrep.org,Organizations,"800 University Drive, Maryville, MO",Maryville,MO,,US,,,,,CONCORD,https://www.concordtheatricals.com/p/102575/snapshot,performance run,Amateur,2026-08-18
Disney's The Little Mermaid,Anderson University,Anderson University/henderson,2026-10-01,2026-10-04,ocr@ed.gov,Production,"316 Boulevard, Anderson, SC 29621",Anderson,SC,29621,US,http://www.andersonuniversity.edu,(800) 421-3481,https://www.facebook.com/AndersonUniversitySC,https://www.instagram.com/AndersonUnivSC,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-18
Act Without Words I & II,Arthur Miller Theatre,Arthur Miller Theatre,2026-10-01,2026-10-11,ruth.egherman@gmail.com,Production,"1226 Murfin Ave., Ann Arbor, MI",Ann Arbor,MI,,US,http://www.a2ct.org,4089307591,https://www.facebook.com/annarborcivictheatre/,https://www.instagram.com/annarborcivictheatre/,CONCORD,https://www.concordtheatricals.com/p/924/act-without-words-i-ii,performance run,Amateur,2026-08-18
Shrek The Musical,Bainbridge Little Theatre,Bainbridge Little Theatre,2026-10-01,2026-10-04,bainbridgelittletheatre@gmail.com,Production,"220 E Troupe St, Po Box 1245, Bainbridge, GA 39818",Bainbridge,GA,39818,US,http://www.bainbridgelittletheatre.com/,(229) 246-8345,,,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Newsies,Blue Ridge Community Theatre,Blue Ridge Community Theater,2026-10-01,2026-10-11,info@blueridgecommunitytheater.com,Production,"2591 East First St, Blue Ridge, GA 30513",Blue Ridge,GA,30513,US,http://blueridgecommunitytheater.com,(706) 632-9191,https://www.facebook.com/BRCTGA/,https://www.instagram.com/blueridgecommunitytheater/,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Company,Charles Stewart Howard Playhouse,Harter Hall,2026-10-01,2026-11-01,cshplayhouse@gmail.com,Production,"21338 Dumetz Road, Woodland Hills, CA 91436",Woodland Hills,CA,91436,US,http://www.cshplayhouse.org,(818) 835-0612,https://www.facebook.com/whctheatre,https://www.instagram.com/cshplayhouse,MTI,https://www.mtishows.com/shows,extended run,Non-Professional,2026-08-18
Annie,Christian Youth Theatre - Cyt Phoenix,"Mesa Arts Center, Piper",2026-10-01,2026-10-11,boxoffice@mesaartscenter.com,Production,"One E Main St, Mesa, AZ 85201",Mesa,AZ,85201,US,http://mesaartscenter.com,(480) 644-6500,https://www.facebook.com/mesaartscenteraz,https://instagram.com/mesaartscenter,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
All My Sons,George P Maffei Theatre,George P Maffei Theatre,2026-10-01,2026-10-04,williamskaggs@kings.edu,Production,"133 N River St, Wilkes Barre, PA",Wilkes Barre,PA,,US,http://www.kings.edu,,https://www.facebook.com/kingscollegepa,https://www.instagram.com/kingscollegepa/,CONCORD,https://www.concordtheatricals.com/p/6567/all-my-sons,performance run,Amateur,2026-08-18
Little Shop Of Horrors,Good Theatre Productions,Good Theatre,2026-10-01,2026-10-18,boxoffice@goodtheater.com,Production,"17 Schooner Rd, Scarborough, ME 04074-8775",Scarborough,ME,04074-8775,US,http://www.goodtheater.com,2078350895,https://www.facebook.com/TheGoodTheater/,https://www.instagram.com/goodtheater,MTI,https://www.mtishows.com/shows,extended run,Professional,2026-08-18
Agatha Christie's Murder on the Orient Express,Jefferson high school,Jefferson high school,2026-10-01,2026-10-04,info@lafayettecivic.org,Organizations,"4001 W 102nd st, Bloomington, MN",Bloomington,MN,,US,,,,,CONCORD,https://www.concordtheatricals.com/p/64584/agatha-christie-s-murder-on-the-orient-express,performance run,Amateur,2026-08-18
Little Shop Of Horrors (broadway Version),Kearney High School,Kearney High School,2026-10-01,2026-10-04,jasmundorf@kearneycats.com,Production,"2702 W. 11th St, Kearney, NE 68845",Kearney,NE,68845,US,http://www.kearneypublicschools.org,(308) 698-8000,https://www.facebook.com/kearneypublicschools,,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-18
Into The Woods,Leeds Arts Council Inc,Leeds Theatre And Arts Center,2026-10-01,2026-10-11,leedsartscouncilal@gmail.com,Production,"8140 Parkway Dr., Leeds, AL 35094",Leeds,AL,35094,US,http://www.leedsartscouncil.org,205.699.1892,https://www.facebook.com/wix,https://www.instagram.com/wix/,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
The 25th Annual Putnam County Spelling Bee,Lewisville Playhouse,Lewisville Playhouse,2026-10-01,2026-10-18,info@lewisvilleplayhouse.org,Production,"160 W Main Street, Lewisville, TX",Lewisville,TX,,US,http://www.lewisvilleplayhouse.org,(972) 221-7469,https://www.facebook.com/lewisvilleph,https://www.instagram.com/lewisvilleph/,MTI,https://www.mtishows.com/shows,extended run,Non-Professional,2026-08-18
Marriage Can Be Hazardous to Your Health,Marion Ross Performing Arts Center,Marion Ross Performing Arts Center,2026-10-01,2026-10-10,act@actonbroadway.com,Production,"147 N. Broadway Ave, Albert Lea, MN",Albert Lea,MN,,US,http://www.actonbroadway.com,(507) 377-4371,https://www.facebook.com/ACT-on-Broadway-164879623522113/,,CONCORD,https://www.concordtheatricals.com/p/5391/marriage-can-be-hazardous-to-your-health,performance run,Amateur,2026-08-18
The Crucible,Northern Starz Theatre,Northern Starz Theatre,2026-10-01,2026-10-11,rachel@northernstarz.org,Production,"5300 Alpine Drive, Ramsey, MN",Ramsey,MN,,US,http://www.northernstarz.org,(612) 326-6158,https://www.facebook.com/NorthernStarzCenterforPerformingArts/,https://www.instagram.com/northernstarz_performingarts/,CONCORD,https://www.concordtheatricals.com/p/7459/the-crucible,performance run,Amateur,2026-08-18
The 25th Annual Putnam County Spelling Bee,Ohio Northern University,Ohio Northern University Studio The,2026-10-01,2026-10-04,freed-center@onu.edu,Production,"525 South Main Street, Ada, OH 45810",Ada,OH,45810,US,http://www.freedcenter.com,(419) 772-1900,https://www.facebook.com/ohionorthern,https://www.instagram.com/ohionorthern/,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-18
Shrek The Musical Kids,Oldham County Schools Arts Center,Oldham County Schools Arts Center,2026-10-01,2026-10-03,arts.center@oldham.kyschools.us,Production,"7105 Floydsburg Road, Crestwood, KY 40014",Crestwood,KY,40014,US,http://ocsartscenter.org,(502) 241-6018,https://www.facebook.com/OldhamCoSchoolsArtsCenter,,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Buried Child,Ollington Smith Playhouse,Ollington Smith Playhouse,2026-10-01,2026-10-04,web-accessibility@tsu.edu,Production,"3100 Cleburne St, Houston, TX",Houston,TX,,US,http://www.tsu.edu,(713) 313-7011,https://www.facebook.com/texassouthernuniversity/,https://www.instagram.com/texassouthern/,CONCORD,https://www.concordtheatricals.com/p/6564/buried-child,performance run,Amateur,2026-08-27
Footloose,Southeast Missouri State University,Southeast Missouri State University,2026-10-01,2026-10-04,ssteffens@semo.edu,Production,"518 South Fountain Street, Cape Girardeau, MO",Cape Girardeau,MO,,US,http://www.semo.edu/theatreanddance,(573) 651-2149,https://www.facebook.com/SEConservatoryTheatre/,https://www.instagram.com/seconservatorydance/,CONCORD,https://www.concordtheatricals.com/p/44822/footloose,performance run,Amateur,2026-08-18
Wait Until Dark (Hatcher),St. Charles Community College,St. Charles Community College,2026-10-01,2026-10-04,hr@stchas.edu,Organizations,"4601 Mid Rivers Mall Dr., St. Peters, MO",St. Peters,MO,,US,,,,,CONCORD,https://www.concordtheatricals.com/p/98167/wait-until-dark-hatcher,performance run,Amateur,2026-08-18
Magic Tree House: The Knight At Dawn Kids,The Habersham School,The Habersham School,2026-10-01,2026-10-01,info@thehabershamschool.org,Production,"4700 Skidaway Road Bld. B, Savannah, GA 31404",Savannah,GA,31404,US,http://thehabershamschool.org,(912) 509-0540,https://www.facebook.com/thehabershamschool/,https://www.instagram.com/thehabershamschool/,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-18
Yellow Face,THE KANDER THEATER,THE KANDER THEATER,2026-10-01,2026-10-04,college.admissions@oberlin.edu,Production,"67 N Main St, Oberlin, OH",Oberlin,OH,,US,https://www.oberlin.edu/hall-auditorium,(800) 622-6243,,,CONCORD,https://www.concordtheatricals.com/p/15064/yellow-face,performance run,Amateur,2026-08-18
Hurricane Diane,The Ten Fifteen Theater,The Ten Fifteen Theater,2026-10-01,2026-10-17,info@thetenfifteentheater.com,Production,"1015 Commercial Street, Astoria, OR",Astoria,OR,,US,http://www.thetenfifteentheater.com,(503) 298-5255,http://www.facebook.com/thetenfifteentheater,http://www.instagram.com/thetenfifteen,CONCORD,https://www.concordtheatricals.com/p/65789/hurricane-diane,extended run,Amateur,2026-08-18
The 25th Annual Putnam County Spelling Bee,Windermere Preparatory School,Auditorium at Windermere Preparatory School,2026-10-01,2026-10-03,admissions@windermereprep.com,Production,"6189 Winter Garden Vineland Road, Windermere, FL 34786",Windermere,FL,34786,US,http://www.windermereprep.com,+1 407-905-7737,https://www.facebook.com/windermerepreparatoryschool/,https://www.instagram.com/windermereprepschool/,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Sweeney Todd,Clarksville Little Theatre,Clarksville Little Theatre,2026-10-02,2026-10-11,clarksvillelittletheatre@gmail.com,Production,"301 E Montgomery Avenue, Clarksville, IN 47129",Clarksville,IN,47129,US,http://www.clarksvillelittletheatre.org,(812) 283-6522,https://m.facebook.com/ClarksvilleLittleTheatre/,,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Beautiful,Dunwoody United Methodist Church,Dunwoody United Methodist Church,2026-10-02,2026-10-04,mail@dunwoodyumc.org,Production,"1548 Mt. Vernon Rd., Dunwoody, GA 30338",Dunwoody,GA,30338,US,http://dunwoodyumc.org,(770) 394-0675,https://www.facebook.com/DunwoodyUMC,https://www.instagram.com/dunwoodyumc/,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Lionel Barts Oliver! Jr,Early Light Academy,Toni Butler,2026-10-02,2026-10-10,info@earlylightacademy.org,Production,"11709 S. Vadania Dr., South Jordan, UT 84009",South Jordan,UT,84009,US,http://earlylightacademy.org,(801) 302-5988,https://www.facebook.com/earlylightacademy/,https://www.instagram.com/eladaybreak,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
"The Seagull (Stoppard, trans.)",Evan P. and Marion Helfaer Theatre,Evan P. and Marion Helfaer Theatre,2026-10-02,2026-10-11,amanda.keeler@marquette.edu,Production,"1304 W. Clybourn Street, Milwaukee, WI",Milwaukee,WI,,US,http://www.marquette.edu/theatre,(414) 288-7133,https://www.facebook.com/MarquetteTheatre/,https://www.instagram.com/mutheatre/,CONCORD,https://www.concordtheatricals.com/p/7614/the-seagull-stoppard-trans,performance run,Amateur,2026-08-18
Sister Act,Flat Rock Playhouse,Flat Rock Playhouse,2026-10-02,2026-10-25,info@flatrockplayhouse.org,Production,"2661 Greenville Hwy, Flat Rock, NC 28731",Flat Rock,NC,28731,US,http://www.flatrockplayhouse.org,(828) 693-0731,https://www.facebook.com/FRPlayhouse,https://www.instagram.com/frplayhouse/,MTI,https://www.mtishows.com/shows,extended run,Professional,2026-08-18
Waiting (Coen),Henry Heymann Theatre,Henry Heymann Theatre,2026-10-02,2026-10-04,stages@pitt.edu,Production,"4301 Forbes Ave, Pittsburgh, PA",Pittsburgh,PA,,US,http://play.pitt.edu,(412) 624-6568,https://www.facebook.com/PittStages,https://www.instagram.com/pitt_stages/,CONCORD,https://www.concordtheatricals.com/p/101377/waiting-coen,performance run,Amateur,2026-08-18
Disney's Newsies Jr.,Hive Preparatory School,Hive Preparatory School,2026-10-02,2026-10-02,agonzalez@hiveprep.com,Production,"5855 Nw 171 Street, Hialeah, FL 33015",Hialeah,FL,33015,US,http://www.hiveprep.org,(305) 231-4888,https://www.facebook.com/HIVEPrep,https://www.instagram.com/hiveprep/,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-26
Evil Dead The Musical,Lamb Productions,Lamb Theatre,2026-10-02,2026-10-18,diana.wooley@gmail.com,Production,"1501 Morningside Ave., Sioux City, IA 51106",Sioux City,IA,51106,US,http://www.lambtheatre.com,(712) 251-3014,https://www.facebook.com/LAMBTheatre,https://www.instagram.com/lambtheatresc,MTI,https://www.mtishows.com/shows,extended run,Non-Professional,2026-08-18
Dracula (Dietz),Las Cruces Community Theatre,Las Cruces Community Theatre,2026-10-02,2026-10-18,boxoffice@lcctnm.org,Production,"313 N. Main St., Las Cruces, NM",Las Cruces,NM,,US,http://www.lcctnm.org,575-523-1200,https://www.facebook.com/lcctnm,https://www.instagram.com/lcctnm,CONCORD,https://www.concordtheatricals.com/p/99874/dracula-dietz,extended run,Amateur,2026-08-18
1776,Marigold Auditorium For Arts And Culture,Marigold Auditorium,2026-10-02,2026-10-04,wintervillecampus@gmail.com,Production,"373 N Church St., Winterville, GA 30683",Winterville,GA,30683,US,http://www.wintervillecenter.com,706-742-0823,https://www.facebook.com/TheWintervilleCenter/,https://www.instagram.com/wintervillecenter/,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Come From Away,Merely Players,Merely Players,2026-10-02,2026-10-18,merelydirectors@gmail.com,Production,"789 Tech Center Drive, Durango, CO 81301",Durango,CO,81301,US,http://www.merelyplayers.org,,https://www.facebook.com/merelyplayers.us,https://www.instagram.com/merely_players_durango/,MTI,https://www.mtishows.com/shows,extended run,Non-Professional,2026-08-18
Disney's Aladdin Jr.,One School Of The Arts,One School Of The Arts,2026-10-02,2026-10-03,hello@oneschool.net,Production,"1675 Dixon Rd, Longwood, FL 32779",Longwood,FL,32779,US,http://oneschool.net,(407) 774-0168,http://www.facebook.com/oneschoolofthearts,http://instagram.com/oneschoolofthearts,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Puffs (Two Act Edition),Oster Regent Theatre,Oster Regent Theatre,2026-10-02,2026-10-11,info@mycfct.org,Production,"103 Main Street, Cedar Falls, IA",Cedar Falls,IA,,US,https://www.mycfct.org/,(319) 277-5283,https://www.facebook.com/MyCFCT,https://www.instagram.com/mycfct/,CONCORD,https://www.concordtheatricals.com/p/65316/puffs-two-act-edition,performance run,Amateur,2026-08-18
Disney's Aladdin Jr.,Palace Cultural Arts Association,Marion Palace Theatre,2026-10-02,2026-10-04,info@marionpalace.org,Production,"276 W Center St, Marion, OH 43302",Marion,OH,43302,US,http://marionpalace.org,(740) 383-2101,https://www.facebook.com/marionpalace,https://www.instagram.com/marionpalace,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Come From Away,Ph Friends D/b/a Playhouse 1960,Playhouse 1960 Inc,2026-10-02,2026-10-18,ph1960president@gmail.com,Production,"6814 Gant Road, #116, Houston, TX 77066",Houston,TX,77066,US,http://www.playhouse1960.com/,(281) 587-8243,https://www.facebook.com/Playhouse1960,https://www.instagram.com/playhouse1960/,MTI,https://www.mtishows.com/shows,extended run,Non-Professional,2026-08-18
Bye Bye Birdie,Pinole Community Playhouse,Pinole Community Playhouse,2026-10-02,2026-10-10,info@pinoleplayers.org,Production,"601 Tennent Ave., Pinole, CA",Pinole,CA,,US,http://www.pinoleplayers.org,(510) 724-9844,https://www.facebook.com/PinolePlayers/,http://instagram.com/pinoleplayers/,CONCORD,https://www.concordtheatricals.com/p/44595/bye-bye-birdie,performance run,Amateur,2026-08-18
"Almost, Maine",Powerhouse Community Arts Center,Powerhouse Community Arts Center,2026-10-02,2026-10-03,help@oxfordarts.com,Production,"413 S 14th Street, Oxford, MS",Oxford,MS,,US,https://www.oxfordarts.com/,(662) 236-6429,https://www.facebook.com/yoknapatawphaartscouncil,https://www.instagram.com/yacartscouncil/,CONCORD,https://www.concordtheatricals.com/p/12954/almost-maine,performance run,Amateur,2026-08-18
Hairspray,"Pretty As A Penny Productions, Inc.",Lawrenceville Arts Center,2026-10-02,2026-10-24,boxoffice@auroratheatre.com,Production,"125 N Clayton St, Lawrenceville, GA 30046",Lawrenceville,GA,30046,US,http://www.auroratheatre.com,(678) 226-6222,https://www.facebook.com/AuroraTheatre,https://www.instagram.com/aurora.theatre/,MTI,https://www.mtishows.com/shows,extended run,Professional,2026-08-18
The Addams Family Musical,Sherman Community Players,Sherman Community Players,2026-10-02,2026-10-18,pam@scptheater.org,Production,"Sherman, TX",Sherman,TX,,US,http://theatricks.org,(903) 892-8818,https://www.facebook.com/SCPTheater,https://www.instagram.com/explore/tags/shermancommunityplayers/,TRW,https://www.theatricalrights.com/show/addams-family-musical/,extended run,,2026-08-18
Disney's Frozen Jr,St Margaret Mary School,St Margaret Mary School,2026-10-02,2026-10-03,parish@stmm.org,Organizations,"1050-a Robert Blvd, Slidell, LA 70458",Slidell,LA,70458,US,http://www.saintmmschool.org,,,,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Into The Woods,St Marks Players,St Marks Episcopal Church,2026-10-02,2026-10-17,info@stmarksplayers.org,Production,"301 A St, Se, Washington, DC 20003",Washington,DC,20003,US,http://www.stmarksplayers.org,(202) 854-9199,https://www.facebook.com/stmarksplayers,http://instagram.com/stmarksplayers,MTI,https://www.mtishows.com/shows,extended run,Non-Professional,2026-08-18
Little Shop Of Horrors,Standing Room Only,Outpost Church,2026-10-02,2026-10-31,standrmonly@gmail.com,Production,"102 E. Yelm Avenue, 102 E Yelm Ave, Yelm, WA 98597",Yelm,WA,98597,US,http://www.srotheater.org,,https://www.facebook.com/srotheater/,https://www.instagram.com/srotheater/,MTI,https://www.mtishows.com/shows,extended run,Non-Professional,2026-08-18
Spring Awakening,Stephens College,Macklanburg Playhouse,2026-10-02,2026-10-04,info@stephens.edu,Production,"100 Willis Avenue, Columbia, MO 65215",Columbia,MO,65215,US,http://www.stephens.edu,(573) 442-2211,https://www.facebook.com/stephenscollege,https://www.instagram.com/stephenscollege/,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-18
Building the Wall,Tallgrass Theatre Company,Tallgrass Theatre,2026-10-02,2026-10-11,info@tallgrasstheatre.org,Production,"2019 Grand Ave., West Des Moines, IA",West Des Moines,IA,,US,http://www.tallgrasstheatre.org,(515) 518-0658,https://www.facebook.com/tallgrasstheatre/,https://www.instagram.com/tallgrasstheatrecompany/,CONCORD,https://www.concordtheatricals.com/p/63003/building-the-wall,performance run,Amateur,2026-08-18
Dracula (Dietz),The Arts Center of Cannon County,Arts Center of Cannon County,2026-10-02,2026-10-17,artscenter@artscenterofcc.com,Production,"1424 John Bragg Highway, Woodbury, TN",Woodbury,TN,,US,http://www.artscenterofcc.com,1-615-563-2787,https://facebook.com/artscenterofcc,https://instagram.com/artscenterofcc/,CONCORD,https://www.concordtheatricals.com/p/99874/dracula-dietz,extended run,Amateur,2026-08-18
Disney's The Lion King Jr,The Point Theater,Marian University Theater,2026-10-02,2026-10-04,mutheatrevenue@marian.edu,Production,"3200 Cold Spring Rd, Indianapolis, IN 46222",Indianapolis,IN,46222,US,http://www.marian.edu/about-marian/marian-university-theatre,(317) 955-6000,https://www.facebook.com/marianuniversity,http://instagram.com/marianuniversity,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Irving Berlin's Annie Get Your Gun,The Steam Plant Theater,The Steam Plant Theater,2026-10-02,2026-10-11,steamplant@cityofsalida.com,Production,"220 West Sackett Ave., Salida, CO",Salida,CO,,US,http://salidasteamplant.com,(719) 530-0933,,,CONCORD,https://www.concordtheatricals.com/p/44769/irving-berlin-s-annie-get-your-gun,performance run,Amateur,2026-08-18
13 Jr.,Thomas Metcalf School - Illinois State University,Hayden Auditorium Thomas Metcalf,2026-10-02,2026-10-04,metcalfattendance@ilstu.edu,Production,"7000 Illinois State University, Normal, IL",Normal,IL,,US,http://www.metcalf.illinoisstate.edu/,(309) 838-7965,https://www.facebook.com/MetcalfSchool/,https://www.instagram.com/metcalf_school/,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Songs For A New World,Univ Of Kansas,Univ Of Kansas,2026-10-02,2026-10-11,theatretickets@ku.edu,Production,"1530 Naismith Dr., 317 Murphy Hall, Lawrence, KS 66045",Lawrence,KS,66045,US,https://kutheatre.ku.edu/,(785) 864-3982,https://www.facebook.com/kutheatre,https://www.instagram.com/kutheatre,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-18
Disney's Finding Nemo Kids,Wakefield High School,Wakefield High School Auditorium,2026-10-02,2026-10-03,cdelaney@wcpss.net,Production,"Wakefield High School, 2200 Wakefield Pines Drive, Raleigh, NC 27614",Raleigh,NC,27614,US,http://www.wakefieldhstheatre.com,,,,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-19
A Year With Frog And Toad- Tya,Wando Voice Studio Llc,Encore Music Hall Black Box,2026-10-02,2026-10-03,info@fameperformingarts.org,Production,"757 Long Point Rd, Suite D, Mount Pleasant, SC 29464",Mount Pleasant,SC,29464,US,http://www.fameperformingarts.org,+18436197464,https://www.facebook.com/FamePerforms,https://www.instagram.com/fameperforms/,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Dear Evan Hansen,White Plains Performing Arts Center,White Plains Performing Arts Center,2026-10-02,2026-10-25,wppac@wppac.com,Production,"11 City Place, White Plains, NY 10601",White Plains,NY,10601,US,http://www.wppac.com,(914) 328-1600,https://www.facebook.com/wppac,https://instagram.com/wppac/,MTI,https://www.mtishows.com/shows,extended run,Professional,2026-08-18
Sweeney Todd,Bedford County Players,Bedford County Playhouse,2026-10-03,2026-10-12,info@bedfordcountyplayers.org,Production,"1043 Centerville Rd, Bedford, PA 15522",Bedford,PA,15522,US,http://www.bedfordcountyplayers.org,814-625-7555,http://www.facebook.com/bedfordcountyplayers/,https://www.instagram.com/thebedfordcountyplayers/,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
A Gentleman's Guide To Love And Murder,City Of Torrance Parks And Recreation Department,Torrance Theatre Company At 1316,2026-10-03,2026-10-24,friendsofttc@gmail.com,Production,"1316 Cabrillo Ave/, #226, Torrance, CA 90501",Torrance,CA,90501,US,http://www.torrancetheatrecompany.com,(424)243-6882,https://www.facebook.com/TorranceTheatreCompany/,http://instagram.com/torrancetheatrecompany,MTI,https://www.mtishows.com/shows,extended run,Non-Professional,2026-08-18
Disney's Finding Nemo:a 60-minute Family Musical,Delaware Childrens Theatre,Delaware Childrens Theatre,2026-10-03,2026-10-18,info@dechildrenstheatre.org,Production,"1014 Delaware Avenue, Wilmington, DE 19806",Wilmington,DE,19806,US,http://www.dechildrenstheatre.org/,(302) 655-1014,https://www.facebook.com/DelawareChildrensTheatre,https://instagram.com/dechildrenstheatre,MTI,https://www.mtishows.com/shows,extended run,Non-Professional,2026-08-18
Night of the Living Dead Live,Ja'Duke Theater,Ja'Duke Theater,2026-10-03,2026-10-11,jaduketheater@gmail.com,Production,"110 Industrial Blvd., Turners Falls, MA",Turners Falls,MA,,US,http://www.jaduketheater.com,4134754805,https://www.facebook.com/jaduketheater/,https://www.instagram.com/jaduketheater,CONCORD,https://www.concordtheatricals.com/p/62036/night-of-the-living-dead-live,performance run,Amateur,2026-08-18
Peter And The Starcatcher,On The Stage Children's Theatre,The Eagle At Sugar Hill,2026-10-03,2026-10-04,info@pgatsh.com,Production,"5029 W Broad St. Ne, Sugar Hill, GA 30518",Sugar Hill,GA,30518,US,http://www.eagleatsugarhill.com,(770) 945-6929,,,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
10 Ways to Survive the Zombie Apocalypse,NTA Center For Creativity,NTA Center For Creativity,2026-10-04,2026-10-25,info@nitschtheatrearts.org,Production,"2442 Centennial Drive, Washington, IL",Washington,IL,,US,http://nitschtheatrearts.org,(309) 402-9457,https://www.facebook.com/groups/1616591632216660,,CONCORD,https://www.concordtheatricals.com/p/99269/10-ways-to-survive-the-zombie-apocalypse,extended run,Amateur,2026-08-18
Curious George Tya,Mill Mountain Theatre Conservatory,Tour,2026-10-05,2026-11-01,matt@millmountain.org,Production,"1 Market Sq Se, Second Floor, Roanoke, VA 24011",Roanoke,VA,24011,US,http://www.millmountain.org,+15403425740,https://www.facebook.com/Mill-Mountain-Theatre-141293293887/,https://www.instagram.com/millmountaintheatre/,MTI,https://www.mtishows.com/shows,extended run,Non-Professional,2026-08-18
A Year With Frog And Toad,Snow College,Snow College Theatre,2026-10-06,2026-10-10,snowcollege@snow.edu,Production,"150 College Ave, Ephraim, UT 84627",Ephraim,UT,84627,US,https://www.snow.edu/academics/fineart/music/calendar.html,(435) 283-7000,,,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-18
The Legend of Sleepy Hollow (Heimbuch/Ferguson),"Cultural Arts Center, Dothan","Cultural Arts Center, Dothan",2026-10-07,2026-10-10,seact@seact.com,Production,"909 South St. Andrews Street, Dothan, AL",Dothan,AL,,US,http://www.seact.com,334-794-0400,https://www.facebook.com/seactdothan,https://www.instagram.com/seactdothan,CONCORD,https://www.concordtheatricals.com/p/61798/the-legend-of-sleepy-hollow-heimbuch-ferguson,performance run,Amateur,2026-08-18
Just Ask!,The Curators Of The University Of Missouri,Missouri Theatre,2026-10-07,2026-10-11,umct@missouri.edu,Production,"129 Fine Arts Building, Columbia, MO 65211",Columbia,MO,65211,US,http://theatre.missouri.edu,(573) 882-7529,,,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-18
Company,Univ Of Wisconsin Milwaukee Peck School Of Arts,Mainstage Theatre,2026-10-07,2026-10-11,arts@uwm.edu,Production,"2400 E Kenwood Blvd, Milwaukee, WI 53211",Milwaukee,WI,53211,US,http://arts.uwm.edu/calendar,(414) 229-4763,https://www.facebook.com/uwmpsoa,https://www.instagram.com/uwmpsoa/,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-18
Disney's Dare To Dream Jr,West Forsyth High School,School at West Forsyth High School,2026-10-07,2026-10-08,info@studiowestwfhs.com,Production,"4155 Drew Rd, Cumming, GA 30040-9441",Cumming,GA,30040-9441,US,http://www.studiowestwfhs.com,,,,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-18
Roald Dahl's Willy Wonka,Bethesda Christian School,Bethesda Comm.church Youth Hall,2026-10-08,2026-10-11,bcs@bcsfw.org,Production,"4700 North Beach Street, Fort Worth, TX 76137",Fort Worth,TX,76137,US,http://bethesdachristianschool.org,(817) 281-6446,https://www.facebook.com/bethesdachristian/,https://www.instagram.com/bethesdafw/,MTI,https://www.mtishows.com/shows,performance run,School,2026-08-18
Beetlejuice Jr.,Breitling Youth Theater,Plaza Theatre,2026-10-08,2026-10-09,actingforchildren@hotmail.com,Production,"521 W. State St., Garland, TX 75040",Garland,TX,75040,US,http://www.breitlingperformingarts.com,,,,MTI,https://www.mtishows.com/shows,performance run,Non-Professional,2026-08-18
Dance Nation,Deborah K. Anderson Studio Theatre,Deborah K. Anderson Studio Theatre,2026-10-08,2026-10-10,kristi.shamburger@mtsu.edu,Production,"615 Champion Way, Murfreesboro, TN",Murfreesboro,TN,,US,http://mtsu.edu/theatreanddance,(615) 898-2640,https://www.facebook.com/mtsutheatre,https://www.instagram.com/mtsutheatre/,CONCORD,https://www.concordtheatricals.com/p/64509/dance-nation,performance run,Amateur,2026-08-19
